00023F	L	Compal Electronics INC.
000240	L	Seedek Co., Ltd.
000241	L	Amer.com
000242	L	Videoframe Systems
000243	L	Raysis Co., Ltd.
000244	L	SURECOM Technology Co.
000245	L	Lampus Co, Ltd.
000246	L	All-Win Tech Co., Ltd.
000247	L	Great Dragon Information Technology (Group) Co., Ltd.
000248	L	Pilz GmbH & Co.
000249	L	Aviv Infocom Co, Ltd.
00024A	L	Cisco Systems, Inc
00024B	L	Cisco Systems, Inc
00024C	L	SiByte, Inc.
00024D	L	Mannesman Dematic Colby Pty. Ltd.
00024E	L	Datacard Group
00024F	L	IPM Datacom S.R.L.
000250	L	Geyser Networks, Inc.
000251	L	Soma Networks, Inc.
000252	L	Carrier Corporation
000253	L	Televideo, Inc.
000254	L	WorldGate
000255	L	IBM Corp
000256	L	Alpha Processor, Inc.
000257	L	Microcom Corp.
000258	L	Flying Packets Communications
000259	L	Tsann Kuen China (Shanghai)Enterprise Co., Ltd. IT Group
00025A	L	Catena Networks
00025B	L	Cambridge Silicon Radio
00025C	L	SCI Systems (Kunshan) Co., Ltd.
00025D	L	Calix Networks
00025E	L	High Technology Ltd
00025F	L	Nortel Networks
000260	L	Accordion Networks, Inc.
000261	L	Tilgin AB
000262	L	Soyo Group Soyo Com Tech Co., Ltd
000263	L	RPS S.p.A.
000264	L	AudioRamp.com
000265	L	Virditech Co. Ltd.
000266	L	Thermalogic Corporation
000267	L	NODE RUNNER, INC.
000268	L	Harris Government Communications
000269	L	Nadatel Co., Ltd
00026A	L	Cocess Telecom Co., Ltd.
00026B	L	BCM Computers Co., Ltd.
00026C	L	Philips CFT
00026D	L	Adept Telecom
00026E	L	NeGeN Access, Inc.
00026F	L	Senao International Co., Ltd.
000270	L	Crewave Co., Ltd.
000271	L	Zhone Technologies, Inc.
000272	L	CC&C Technologies, Inc.
000273	L	Coriolis Networks
000274	L	Tommy Technologies Corp.
000275	L	SMART Technologies, Inc.
000276	L	Primax Electronics Ltd.
000277	L	Cash Systemes Industrie
000278	L	SAMSUNG ELECTRO MECHANICS CO., LTD.
000279	L	Control Applications, Ltd.
00027A	L	IOI Technology Corporation
00027B	L	Amplify Net, Inc.
00027C	L	Trilithic, Inc.
00027D	L	Cisco Systems, Inc
00027E	L	Cisco Systems, Inc
00027F	L	ask-technologies.com
000280	L	Mu Net, Inc.
000281	L	Madge Ltd.
000282	L	ViaClix, Inc.
000283	L	Spectrum Controls, Inc.
000284	L	UK Grid Solutions Limited
000285	L	Riverstone Networks
000286	L	Occam Networks
000287	L	Adapcom
000288	L	GLOBAL VILLAGE COMMUNICATION
000289	L	DNE Technologies
00028A	L	Ambit Microsystems Corporation
00028B	L	VDSL Systems OY
00028C	L	Micrel-Synergy Semiconductor
00028D	L	Movita Technologies, Inc.
00028E	L	Rapid 5 Networks, Inc.
00028F	L	Globetek, Inc.
000290	L	Woorigisool, Inc.
000291	L	Open Network Co., Ltd.
000292	L	Logic Innovations, Inc.
000293	L	Solid Data Systems
000294	L	Tokyo Sokushin Co., Ltd.
000295	L	MAVENIR IPA UK LTD
000296	L	Lectron Co,. Ltd.
000297	L	C-COR.net
